OBJECTID,WEB_URL,PHONE,ZIP,GIS_ID,ADDRESS,NUMROOMS,NAME,X,Y,ADDRID
149,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-georgetown-area-WASWEGI/index.html,202-947-6010,20037,,2201 M STREET NW,,HILTON GARDEN INN WASHINGTON DC/GEORGETOWN AREA,395744.3,137516.99,243160
150,https://www.cambriadc.com/en-us,202-299-1188,20001,,899 O STREET NW,,"CAMBRIA HOTEL WASHINGTON, DC CONVENTION CENTER",397942.87,137876.5,310640
151,https://www.luxbnb.com/,202-341-8799,20016,,5185 MACARTHUR BOULEVARD NW,,LUXBNB,391092.19,139878.21,275285
152,https://www.hyatt.com/en-US/hotel/washington-dc/hyatt-place-washington-dc-white-house/waszw,202-830-1900,20005,,1522 K STREET NW,164,HYATT PLACE WASHINGTON DC/WHITE HOUSE,396906.88,137144.67,218324
153,http://canopy3.hilton.com/en/hotels/district-of-columbia/canopy-by-hilton-washington-dc-the-wharf-DCACUPY/index.html,202-488-2500,20024,,975 7TH STREET SW,,CANOPY WASHINGTON DC THE WHARF,397966.81,134522.21,313288
154,https://www.hyatt.com/en-US/hotel/washington-dc/hyatt-place-washington-dc-georgetown-west-end/waszm,202-838-2222,20037,,2121 M STREET NW,168,HYATT PLACE WASHINGTON DC/GEORGETOWN/WEST END,395823.06,137519.47,310698
155,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-and-suites-washington-dc-navy-yard-WASNYHX/index.html,202-800-1000,20003,,1265 1ST STREET SE,,HAMPTON INN & SUITES WASHINGTON DC-NAVY YARD,399463,134128.67,304845
156,https://washingtondcuscapitol.place.hyatt.com/en/hotel/home.html,202-289-5599,20002,,33 NEW YORK AVENUE NE,200,HYATT PLACE WASHINGTON DC/US CAPITOL,399333.46,137743.13,37070
157,https://www.marriott.com/hotels/maps/travel/wasrd-residence-inn-washington-downtown-convention-center/,202-408-5300,20001,,901 L STREET NW,,RESIDENCE INN WASHINGTON DOWNTOWN/CONVENTION CENTER,397891.94,137388.16,313138
158,https://www.duonomad.com,202-629-3495,20003,,1010 PENNSYLVANIA AVENUE SE,,DUO NOMAD,400684.39,135058.69,75803
159,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-noma-union-station-DCANEHW/index.html,202-393-8001,20002,,501 NEW YORK AVENUE NE,,HOMEWOOD SUITES WASHINGTON DC NOMA UNION STATION,400267.79,138159.12,288413
160,http://highroadhostels.com/,202-735-3622,20009,,1804 BELMONT ROAD NW,,HIGHROAD HOSTE,396332.72,139171.42,235426
161,http://www.thearchitecthotel.com/,202-408-8200,20005,,1025 15TH STREET NW,,THE ARCHITECT HOTEL,397027.85,137299.82,278793
162,https://www.averygeorgetown.com/,202-827-4390,20007,,2616 P STREET NW,,THE AVERY GEORGETOWN,395199.08,137931.28,272383
163,https://www.thegeorgetownhousedc.com/,202-827-4294,20007,,1061 31ST STREET NW,11,THE GEORGETOWN HOUSE,394711.7,137387.34,273844
164,http://www.cityhousehostels.com/washington-dc/,202-370-6390,20002,,506 H STREET NE,,CITY HOUSE HOSTEL WASHINGTON DC,400078.39,136952.92,13950
165,http://duohousing.com/,202-808-2195,20001,,1223 11TH STREET NW,,DUO HOUSING HOSTEL,397681.39,137623.37,239327
166,https://www.capitolhillbnb.com/en-us,202-798-1262,20002,,101 5TH STREET NE,11,FOUND PLACES CAPITOL HILL BED AND BREAKFAST,400064.16,135914.89,75958
167,http://theivymansion.com/,202-302-0242,20009,,1705 21ST STREET NW,,IVY MANSION B&B AT DUPONT CIRCLE,395975.25,138345.35,277124
168,http://www.malolobandb.com/,202-670-6332,20019,,5213 B STREET SE,4,,406368.73,135351.86,11549
169,http://mvsbed.com/,888-399-5496,20001,,400 M STREET NW,5,MT. VERNON SQUARE BED & BREAKFAST,398581.36,137512.45,237558
