ID,Date of Birth,Highest Education,Marital Status,Occupation,Race,Sex,Current City,Current State,Current Zip,How long has it been since you bought new clothing?,Which is you favorite store to shop at?,Favorite Clothing to shop for?,Do you have clothing in your closet that you do not wear?,"If yes, approximately how many items?",How often do you shop?,What do you do with old clothing?,Would you be open to donating old clothing?,"If Yes, which organization would you donate to?",How often do you give charity?
1005,9/16/83,HS Grad,Dating,Employeed,Asian,Male,Chicago,IL,91351,Year or more,Department Store,Shoes,No,14,Daily,Sell/ Pawn,Yes,American Red Cross,Often
1006,11/22/81,Bachelor,Married,Employeed,Asian,Female,Los Angeles,CA,33106,6 Months,Thrift Store,Shoes,Yes,22,Daily,Sell/ Pawn,No ,Salvation Army,Sometimes
1007,3/29/88,Bachelor,Dating,Student,Asian,Female,Miami,FL,60649,Year or more,Thrift Store,Accessories,Yes,1,Daily,Donate,No ,American Red Cross,Rarely
1008,3/18/95,HS Grad,Single,Student,Hispanic,Male,Chicago,IL,33156,Week,Discount Stores,Shoes,No,14,Weekly,Pass down to family or friend,No ,American Red Cross,Always
1009,4/1/89,HS Grad,Dating,Student,Asian,Male,Miami,FL,91107,Day,Thrift Store,Accessories,Yes,2,Weekly,Throw out,Yes,Homeless Shelter,Rarely
1010,5/14/96,HS Grad,Single,Student,Hispanic,Female,Los Angeles,CA,60612,Week,Discount Stores,Shoes,Yes,15,Yearly,Throw out,Yes,Goodwill,Always
1011,4/7/88,Some College,Single,Employeed,Other,Male,Chicago,IL,11226,6 Months,Thrift Store,Tops,No,17,Weekly,Donate,No ,Local Church/Synagogue,Always
1012,11/22/84,HS Grad,Single,Employeed,White,Female,New York,NY,60611,Week,Department Store,Bottoms,No,19,Monthly,Throw out,Yes,Thrift Store,Rarely
1013,11/21/85,Bachelor,Dating,Employeed,Asian,Male,Chicago,IL,10280,Year or more,Department Store,Shoes,Yes,7,Monthly,Keep in closet,Yes,Local Church/Synagogue,Sometimes
1014,3/18/94,Some College,Married,Employeed,Other,Female,New York,NY,30339,Year or more,Discount Stores,Bottoms,Yes,19,Monthly,Pass down to family or friend,No ,Salvation Army,Rarely
1015,7/22/81,Masters,Married,Employeed,Other,Male,Atlanta,GA,90803,6 Months,Thrift Store,Accessories,Yes,18,Yearly,Keep in closet,No ,Homeless Shelter,Sometimes
1016,1/11/81,HS Grad,Married,Employeed,Hispanic,Male,Los Angeles,CA,30303,Year or more,Department Store,Shoes,No,7,Daily,Sell/ Pawn,Yes,Thrift Store,Rarely
1017,10/7/95,Bachelor,Married,Employeed,Hispanic,Male,Atlanta,GA,91383,Week,Discount Stores,Shoes,Yes,2,Weekly,Pass down to family or friend,No ,Homeless Shelter,Always
1018,11/29/88,Bachelor,Married,Employeed,Black,Female,Los Angeles,CA,60609,Week,Discount Stores,Accessories,No,24,Daily,Pass down to family or friend,Yes,American Red Cross,Always
1019,5/6/95,Masters,Married,Student,Asian,Female,Chicago,IL,91790,6 Months,Department Store,Accessories,Yes,13,Monthly,Pass down to family or friend,Yes,American Red Cross,Rarely
1020,11/25/92,Some College,Married,Employeed,Hispanic,Male,Los Angeles,CA,10123,Week,Department Store,Accessories,No,25,Monthly,Pass down to family or friend,No ,Salvation Army,Always
1021,11/27/82,Some College,Dating,Student,Asian,Male,New York,NY,33035,Day,Discount Stores,Shoes,Yes,23,Monthly,Sell/ Pawn,No ,Goodwill,Often
1022,11/8/93,Bachelor,Married,Student,White,Male,Miami,FL,91350,Week,Discount Stores,Bottoms,No,10,Monthly,Pass down to family or friend,Yes,Local Church/Synagogue,Rarely
1023,11/12/89,Some College,Single,Employeed,White,Female,Los Angeles,CA,60610,6 Months,Department Store,Shoes,No,24,Weekly,Donate,Yes,Homeless Shelter,Always
1024,3/18/88,HS Grad,Dating,Employeed,Other,Female,Chicago,IL,33030,Day,Thrift Store,Accessories,No,12,Weekly,Throw out,No ,Thrift Store,Sometimes
1025,1/27/95,Some College,Single,Employeed,Asian,Female,Miami,FL,30363,Day,Thrift Store,Accessories,Yes,6,Weekly,Keep in closet,Yes,Thrift Store,Never
1026,3/11/89,Bachelor,Single,Employeed,White,Female,Atlanta,GA,91604,Month,Thrift Store,Tops,Yes,19,Weekly,Donate,No ,Thrift Store,Sometimes
1027,3/29/81,Masters,Single,Employeed,Hispanic,Female,Los Angeles,CA,11209,Year or more,Thrift Store,Bottoms,Yes,20,Monthly,Throw out,No ,Homeless Shelter,Always
1028,8/1/88,Masters,Dating,Employeed,Other,Male,New York,NY,90040,Day,Thrift Store,Bottoms,No,7,Yearly,Donate,No ,American Red Cross,Often
1029,7/7/93,Some College,Dating,Student,White,Male,Los Angeles,CA,90039,6 Months,Department Store,Shoes,No,9,Daily,Throw out,Yes,Goodwill,Often
1030,12/5/84,Some College,Married,Employeed,Black,Female,Los Angeles,CA,60653,Year or more,Discount Stores,Bottoms,No,17,Daily,Pass down to family or friend,Yes,Local Church/Synagogue,Often
1031,4/26/89,Some College,Married,Employeed,Other,Male,Chicago,IL,90255,Year or more,Department Store,Bottoms,No,6,Yearly,Pass down to family or friend,Yes,Local Church/Synagogue,Sometimes
1032,4/21/85,Some College,Dating,Student,Other,Male,Los Angeles,CA,30345,Week,Thrift Store,Shoes,No,18,Weekly,Keep in closet,No ,Homeless Shelter,Never
1033,9/10/85,Masters,Single,Employeed,Other,Female,Atlanta,GA,91207,Year or more,Discount Stores,Bottoms,Yes,11,Yearly,Throw out,No ,Thrift Store,Sometimes
1034,4/29/82,Masters,Dating,Employeed,Asian,Female,Los Angeles,CA,33112,Year or more,Discount Stores,Accessories,No,10,Daily,Throw out,No ,American Red Cross,Never
1035,8/9/95,Bachelor,Dating,Student,Other,Male,Miami,FL,11231,6 Months,Discount Stores,Bottoms,No,20,Yearly,Sell/ Pawn,Yes,American Red Cross,Often
1036,1/3/81,Some College,Single,Student,Hispanic,Male,New York,NY,60631,Year or more,Department Store,Accessories,No,9,Daily,Pass down to family or friend,Yes,Salvation Army,Never
1037,1/2/82,Bachelor,Married,Student,Hispanic,Female,Chicago,IL,60643,6 Months,Thrift Store,Bottoms,No,9,Monthly,Sell/ Pawn,Yes,American Red Cross,Rarely
1038,6/28/81,Some College,Dating,Employeed,Other,Male,Chicago,IL,33157,Month,Department Store,Accessories,Yes,6,Weekly,Keep in closet,No ,Local Church/Synagogue,Never
1039,2/18/95,Some College,Dating,Student,White,Female,Miami,FL,33031,6 Months,Discount Stores,Accessories,No,1,Weekly,Keep in closet,Yes,Goodwill,Never
1040,9/27/85,Some College,Single,Employeed,Hispanic,Female,Miami,FL,30324,Month,Department Store,Shoes,Yes,20,Yearly,Sell/ Pawn,No ,Goodwill,Never
1041,6/7/92,Some College,Single,Employeed,Asian,Male,Atlanta,GA,11231,Week,Thrift Store,Accessories,No,15,Yearly,Donate,No ,Salvation Army,Rarely
1042,7/28/83,Bachelor,Married,Employeed,Hispanic,Male,New York,NY,10464,Week,Department Store,Bottoms,No,23,Monthly,Donate,No ,American Red Cross,Rarely
1043,8/11/86,Some College,Married,Student,Asian,Female,New York,NY,91016,Year or more,Thrift Store,Accessories,No,5,Daily,Throw out,Yes,American Red Cross,Always
1044,5/15/85,Bachelor,Married,Student,White,Male,Los Angeles,CA,91001,Week,Discount Stores,Tops,Yes,3,Yearly,Pass down to family or friend,No ,Goodwill,Often
1045,6/24/92,HS Grad,Married,Employeed,Other,Male,Los Angeles,CA,11235,Year or more,Thrift Store,Accessories,Yes,9,Daily,Sell/ Pawn,No ,Thrift Store,Often
1046,5/9/86,Some College,Dating,Employeed,Asian,Male,New York,NY,30079,Month,Discount Stores,Accessories,Yes,21,Weekly,Donate,No ,Salvation Army,Rarely
1047,11/16/82,Bachelor,Single,Student,Black,Male,Atlanta,GA,60623,Month,Discount Stores,Shoes,Yes,24,Daily,Donate,No ,Goodwill,Often
1048,10/5/82,HS Grad,Married,Student,White,Female,Chicago,IL,10177,Day,Thrift Store,Tops,No,11,Weekly,Keep in closet,No ,Local Church/Synagogue,Often
1049,7/31/96,Masters,Single,Student,Asian,Male,New York,NY,60659,Month,Discount Stores,Shoes,Yes,13,Weekly,Keep in closet,Yes,Local Church/Synagogue,Sometimes
1050,8/1/94,Some College,Dating,Student,Other,Female,Chicago,IL,60617,Month,Discount Stores,Shoes,Yes,5,Monthly,Donate,No ,Local Church/Synagogue,Rarely
1051,7/5/96,HS Grad,Married,Employeed,Other,Female,Chicago,IL,11414,6 Months,Discount Stores,Bottoms,No,7,Yearly,Donate,No ,Salvation Army,Sometimes
1052,4/21/90,HS Grad,Dating,Student,White,Female,New York,NY,33138,Month,Thrift Store,Shoes,Yes,6,Monthly,Sell/ Pawn,No ,Homeless Shelter,Sometimes
1053,4/9/86,Bachelor,Single,Student,Black,Male,Miami,FL,93543,6 Months,Discount Stores,Bottoms,Yes,9,Yearly,Sell/ Pawn,No ,Salvation Army,Never
1054,7/19/92,HS Grad,Dating,Student,White,Male,Los Angeles,CA,60640,Week,Discount Stores,Shoes,Yes,7,Monthly,Keep in closet,Yes,Goodwill,Always
1055,11/27/83,HS Grad,Dating,Employeed,Asian,Male,Chicago,IL,60653,Day,Discount Stores,Shoes,No,23,Daily,Sell/ Pawn,No ,Homeless Shelter,Always
1056,4/21/92,Bachelor,Married,Student,Hispanic,Female,Chicago,IL,30338,Month,Thrift Store,Tops,Yes,14,Daily,Sell/ Pawn,No ,Thrift Store,Often
1057,2/15/87,Some College,Dating,Employeed,Black,Male,Atlanta,GA,60631,Week,Thrift Store,Accessories,No,10,Monthly,Donate,Yes,Local Church/Synagogue,Sometimes
1058,6/22/95,Bachelor,Single,Employeed,White,Female,Chicago,IL,33015,Week,Thrift Store,Shoes,Yes,22,Yearly,Donate,Yes,Thrift Store,Rarely
1059,12/26/86,HS Grad,Single,Employeed,Asian,Female,Miami,FL,10013,Day,Thrift Store,Accessories,Yes,19,Monthly,Pass down to family or friend,No ,Thrift Store,Often
1060,11/15/95,Bachelor,Single,Employeed,Hispanic,Female,New York,NY,10002,Year or more,Thrift Store,Shoes,Yes,10,Yearly,Pass down to family or friend,No ,American Red Cross,Sometimes
1061,12/27/83,Some College,Single,Student,Asian,Female,New York,NY,11369,6 Months,Thrift Store,Shoes,Yes,3,Daily,Donate,Yes,Homeless Shelter,Never
1062,6/5/94,Some College,Single,Student,Hispanic,Female,New York,NY,33242,6 Months,Discount Stores,Bottoms,No,4,Yearly,Throw out,Yes,Thrift Store,Sometimes
1063,12/9/87,HS Grad,Single,Employeed,Other,Male,Miami,FL,90260,Week,Discount Stores,Bottoms,No,22,Weekly,Pass down to family or friend,Yes,Salvation Army,Sometimes
1064,6/16/96,Bachelor,Dating,Employeed,Other,Female,Los Angeles,CA,90290,Month,Thrift Store,Tops,No,8,Monthly,Donate,Yes,Goodwill,Always
1065,7/23/94,Masters,Dating,Student,Asian,Male,Los Angeles,CA,91724,Year or more,Department Store,Shoes,Yes,5,Yearly,Donate,No ,Thrift Store,Rarely
1066,11/7/95,Masters,Dating,Employeed,Black,Male,Los Angeles,CA,93591,Week,Thrift Store,Bottoms,Yes,8,Weekly,Donate,Yes,Salvation Army,Always
1067,1/25/93,Some College,Married,Student,Hispanic,Female,Los Angeles,CA,90747,Week,Thrift Store,Bottoms,No,20,Yearly,Donate,Yes,Salvation Army,Never
1068,10/15/83,HS Grad,Single,Student,Other,Female,Los Angeles,CA,90052,Day,Department Store,Accessories,Yes,1,Weekly,Sell/ Pawn,Yes,Local Church/Synagogue,Never
1069,8/21/89,Some College,Dating,Student,White,Male,Los Angeles,CA,60606,Day,Department Store,Bottoms,No,2,Monthly,Pass down to family or friend,Yes,Goodwill,Often
1070,5/6/87,Some College,Single,Student,Asian,Male,Chicago,IL,11203,Month,Thrift Store,Accessories,No,17,Yearly,Sell/ Pawn,No ,Salvation Army,Often
1071,12/26/89,Masters,Dating,Student,White,Female,New York,NY,90067,Month,Department Store,Shoes,No,6,Daily,Donate,No ,Salvation Army,Always
1072,12/20/96,Masters,Single,Employeed,Hispanic,Female,Los Angeles,CA,30360,Year or more,Discount Stores,Accessories,No,19,Weekly,Pass down to family or friend,Yes,Goodwill,Always
1073,1/23/93,Some College,Married,Student,Hispanic,Female,Atlanta,GA,33142,6 Months,Department Store,Bottoms,Yes,11,Monthly,Throw out,Yes,Thrift Store,Always
1074,1/17/94,Bachelor,Married,Student,Asian,Female,Miami,FL,60653,Month,Thrift Store,Accessories,No,21,Weekly,Sell/ Pawn,No ,Thrift Store,Rarely
1075,2/16/84,Bachelor,Single,Employeed,White,Female,Chicago,IL,10305,Week,Department Store,Shoes,No,21,Daily,Pass down to family or friend,No ,American Red Cross,Often
1076,5/16/91,Bachelor,Single,Employeed,White,Female,New York,NY,30345,6 Months,Thrift Store,Tops,No,13,Yearly,Donate,No ,Salvation Army,Never
1077,11/23/95,Masters,Single,Student,White,Male,Atlanta,GA,30342,6 Months,Department Store,Shoes,No,19,Weekly,Pass down to family or friend,No ,Thrift Store,Never
1078,12/12/86,Masters,Dating,Student,Other,Male,Atlanta,GA,33193,Week,Department Store,Accessories,Yes,11,Weekly,Donate,No ,Homeless Shelter,Always
1079,6/27/92,Bachelor,Dating,Student,White,Female,Miami,FL,10454,Day,Department Store,Bottoms,Yes,7,Weekly,Keep in closet,No ,Goodwill,Never
1080,9/29/96,HS Grad,Married,Student,Other,Female,New York,NY,30311,Day,Thrift Store,Bottoms,Yes,2,Weekly,Throw out,Yes,Salvation Army,Never
1081,10/17/86,Some College,Dating,Student,Asian,Male,Atlanta,GA,91733,Year or more,Thrift Store,Bottoms,No,20,Yearly,Sell/ Pawn,Yes,Thrift Store,Never
1082,8/11/87,Some College,Married,Employeed,Asian,Male,Los Angeles,CA,91342,6 Months,Discount Stores,Bottoms,No,4,Yearly,Keep in closet,Yes,Local Church/Synagogue,Always
1083,10/31/94,Some College,Dating,Employeed,White,Male,Los Angeles,CA,60629,Week,Department Store,Shoes,Yes,21,Yearly,Throw out,No ,Homeless Shelter,Often
1084,6/13/85,Bachelor,Married,Employeed,Asian,Female,Chicago,IL,60623,Year or more,Thrift Store,Bottoms,No,18,Yearly,Throw out,No ,Thrift Store,Often
1085,1/24/85,HS Grad,Married,Student,Black,Female,Chicago,IL,33162,Year or more,Thrift Store,Bottoms,No,22,Monthly,Keep in closet,No ,Thrift Store,Often
1086,10/13/89,Masters,Dating,Employeed,Hispanic,Female,Miami,FL,30327,Month,Thrift Store,Tops,Yes,4,Monthly,Sell/ Pawn,No ,Homeless Shelter,Never
1087,9/12/91,Some College,Married,Student,Asian,Female,Atlanta,GA,30307,Week,Thrift Store,Tops,No,16,Weekly,Sell/ Pawn,Yes,Local Church/Synagogue,Always
1088,8/13/92,HS Grad,Dating,Employeed,Asian,Female,Atlanta,GA,33194,Week,Department Store,Accessories,No,23,Monthly,Pass down to family or friend,Yes,Goodwill,Often
1089,12/15/94,Masters,Dating,Student,Other,Male,Miami,FL,33155,Month,Thrift Store,Shoes,No,21,Yearly,Pass down to family or friend,No ,Thrift Store,Always
1090,10/18/90,Bachelor,Dating,Employeed,Black,Female,Miami,FL,60018,Week,Discount Stores,Tops,No,18,Monthly,Pass down to family or friend,Yes,Goodwill,Rarely
1091,3/6/82,HS Grad,Single,Employeed,Asian,Male,Chicago,IL,90650,Week,Department Store,Tops,No,8,Weekly,Sell/ Pawn,No ,American Red Cross,Never
1092,8/19/84,HS Grad,Single,Employeed,Other,Male,Los Angeles,CA,33127,Week,Thrift Store,Bottoms,No,17,Weekly,Sell/ Pawn,Yes,Goodwill,Never
1093,10/15/94,Bachelor,Married,Student,Asian,Female,Miami,FL,60644,Day,Thrift Store,Tops,Yes,2,Daily,Pass down to family or friend,Yes,American Red Cross,Never
1094,3/27/86,Bachelor,Single,Employeed,White,Female,Chicago,IL,60649,Month,Thrift Store,Accessories,Yes,23,Yearly,Sell/ Pawn,No ,Homeless Shelter,Always
1095,11/20/88,Masters,Single,Employeed,White,Male,Chicago,IL,90402,Week,Thrift Store,Tops,No,17,Monthly,Pass down to family or friend,No ,American Red Cross,Never
1096,1/17/82,Masters,Married,Employeed,Other,Female,Los Angeles,CA,30030,Week,Discount Stores,Tops,No,11,Weekly,Pass down to family or friend,No ,Thrift Store,Sometimes
1097,7/20/92,Bachelor,Dating,Student,Black,Female,Atlanta,GA,60176,Month,Thrift Store,Shoes,Yes,21,Weekly,Keep in closet,Yes,Local Church/Synagogue,Sometimes
1098,10/9/90,HS Grad,Single,Employeed,Other,Male,Chicago,IL,33190,Week,Department Store,Shoes,Yes,22,Yearly,Pass down to family or friend,Yes,American Red Cross,Rarely
1099,1/23/82,Bachelor,Married,Student,Hispanic,Female,Miami,FL,10169,Month,Discount Stores,Bottoms,Yes,10,Weekly,Keep in closet,Yes,American Red Cross,Always
1100,6/2/92,HS Grad,Dating,Student,White,Female,New York,NY,30079,Year or more,Department Store,Accessories,No,2,Monthly,Donate,No ,Local Church/Synagogue,Rarely
1101,8/20/83,Masters,Married,Employeed,Black,Female,Atlanta,GA,30326,Month,Department Store,Accessories,No,16,Weekly,Sell/ Pawn,No ,Goodwill,Rarely
1102,3/24/88,Bachelor,Dating,Student,Asian,Male,Atlanta,GA,60707,Month,Thrift Store,Bottoms,No,15,Weekly,Sell/ Pawn,Yes,Local Church/Synagogue,Always
1103,8/7/95,Bachelor,Single,Employeed,Black,Female,Chicago,IL,11243,Week,Thrift Store,Accessories,No,2,Weekly,Donate,No ,Goodwill,Always
1104,11/6/92,Some College,Dating,Student,Hispanic,Male,New York,NY,33136,Day,Discount Stores,Shoes,No,19,Daily,Throw out,No ,Homeless Shelter,Never
1105,1/19/81,Bachelor,Married,Employeed,Other,Female,Miami,FL,33128,Month,Discount Stores,Bottoms,No,7,Weekly,Sell/ Pawn,No ,Homeless Shelter,Sometimes
1106,10/11/88,Masters,Single,Employeed,Other,Female,Miami,FL,11426,Day,Discount Stores,Tops,No,16,Weekly,Keep in closet,Yes,American Red Cross,Never
1107,9/12/81,Bachelor,Single,Student,Other,Female,New York,NY,30313,Month,Thrift Store,Tops,Yes,20,Daily,Throw out,No ,Thrift Store,Sometimes
1108,6/28/84,Some College,Married,Employeed,White,Female,Atlanta,GA,33109,Day,Department Store,Bottoms,Yes,18,Weekly,Donate,No ,Goodwill,Always
1109,11/23/96,Masters,Single,Employeed,Hispanic,Female,Miami,FL,11226,Week,Department Store,Accessories,No,14,Daily,Sell/ Pawn,No ,American Red Cross,Rarely
1110,10/29/93,Masters,Dating,Employeed,Asian,Female,New York,NY,11236,Week,Discount Stores,Shoes,Yes,9,Monthly,Pass down to family or friend,Yes,Thrift Store,Always
1111,9/12/96,Some College,Married,Student,Other,Male,New York,NY,60612,Day,Department Store,Shoes,Yes,9,Monthly,Keep in closet,No ,American Red Cross,Rarely
1112,10/10/88,Some College,Dating,Employeed,Black,Male,Chicago,IL,91306,Day,Thrift Store,Bottoms,No,12,Yearly,Throw out,Yes,American Red Cross,Rarely
1113,4/21/90,Masters,Single,Student,Black,Male,Los Angeles,CA,33153,Month,Department Store,Tops,No,11,Yearly,Keep in closet,Yes,Local Church/Synagogue,Rarely
1114,12/7/82,HS Grad,Single,Employeed,Hispanic,Female,Miami,FL,60642,Month,Thrift Store,Shoes,No,9,Yearly,Donate,Yes,Goodwill,Sometimes
1115,12/18/82,HS Grad,Married,Student,Asian,Male,Chicago,IL,90057,6 Months,Discount Stores,Tops,Yes,25,Yearly,Throw out,No ,American Red Cross,Rarely
1116,3/5/82,HS Grad,Married,Student,Asian,Male,Los Angeles,CA,60610,Week,Discount Stores,Shoes,No,19,Weekly,Throw out,No ,American Red Cross,Rarely
1117,1/10/90,Some College,Married,Employeed,Asian,Female,Chicago,IL,33129,Week,Department Store,Bottoms,Yes,7,Monthly,Keep in closet,No ,Homeless Shelter,Sometimes
1118,3/11/93,Bachelor,Dating,Student,Black,Male,Miami,FL,60647,Month,Thrift Store,Tops,No,13,Weekly,Keep in closet,No ,Homeless Shelter,Often
1119,5/20/95,Bachelor,Dating,Employeed,Hispanic,Female,Chicago,IL,91383,Week,Discount Stores,Shoes,Yes,23,Weekly,Donate,No ,Local Church/Synagogue,Rarely
1120,10/11/85,Masters,Single,Employeed,White,Male,Los Angeles,CA,10457,6 Months,Thrift Store,Shoes,No,8,Yearly,Sell/ Pawn,Yes,Homeless Shelter,Often
1121,6/19/84,Bachelor,Married,Student,Other,Male,New York,NY,30307,Month,Department Store,Bottoms,No,12,Yearly,Keep in closet,No ,Thrift Store,Often
1122,7/31/82,Some College,Dating,Student,Asian,Male,Atlanta,GA,30313,Month,Department Store,Tops,No,13,Daily,Throw out,Yes,Goodwill,Always
1123,8/4/87,Some College,Married,Employeed,White,Female,Atlanta,GA,33119,Year or more,Department Store,Tops,Yes,22,Weekly,Sell/ Pawn,Yes,Local Church/Synagogue,Never
1124,4/12/96,Bachelor,Married,Student,Black,Male,Miami,FL,30326,Month,Discount Stores,Shoes,No,4,Monthly,Pass down to family or friend,No ,Homeless Shelter,Sometimes
1125,1/13/89,Masters,Married,Employeed,Other,Female,Atlanta,GA,60612,Year or more,Thrift Store,Accessories,No,4,Daily,Pass down to family or friend,No ,Thrift Store,Never
1126,6/4/96,Some College,Dating,Employeed,White,Female,Chicago,IL,60007,Month,Thrift Store,Tops,Yes,22,Daily,Sell/ Pawn,No ,Salvation Army,Sometimes
1127,3/16/96,Bachelor,Dating,Student,Other,Female,Chicago,IL,11412,6 Months,Thrift Store,Shoes,Yes,18,Yearly,Keep in closet,No ,Goodwill,Always
1128,5/14/87,Bachelor,Dating,Student,Hispanic,Female,New York,NY,90247,6 Months,Department Store,Accessories,Yes,5,Weekly,Keep in closet,Yes,Thrift Store,Sometimes
1129,11/18/85,Bachelor,Single,Employeed,White,Female,Los Angeles,CA,30324,Month,Thrift Store,Accessories,Yes,23,Weekly,Donate,No ,Salvation Army,Rarely
1130,1/23/81,Some College,Married,Employeed,Asian,Male,Atlanta,GA,60621,Week,Thrift Store,Tops,Yes,11,Monthly,Sell/ Pawn,No ,Goodwill,Often
1131,11/25/83,Bachelor,Married,Student,White,Male,Chicago,IL,90260,Day,Thrift Store,Accessories,No,8,Weekly,Pass down to family or friend,No ,Salvation Army,Often
1132,11/17/94,Masters,Married,Student,Asian,Female,Los Angeles,CA,10475,Week,Discount Stores,Bottoms,No,24,Monthly,Donate,Yes,Salvation Army,Always
1133,9/25/91,Masters,Single,Employeed,White,Female,New York,NY,60643,Month,Discount Stores,Accessories,Yes,23,Daily,Donate,No ,Goodwill,Sometimes
1134,9/10/82,Some College,Single,Student,Black,Male,Chicago,IL,60642,Day,Department Store,Tops,Yes,23,Weekly,Pass down to family or friend,No ,Salvation Army,Sometimes
1135,8/9/96,HS Grad,Married,Student,Hispanic,Female,Chicago,IL,30079,Week,Thrift Store,Tops,No,16,Monthly,Pass down to family or friend,Yes,Local Church/Synagogue,Always
1136,5/23/91,Masters,Single,Student,Black,Female,Atlanta,GA,30341,Week,Discount Stores,Accessories,No,18,Weekly,Donate,No ,Goodwill,Always
1137,1/24/94,Masters,Married,Employeed,Asian,Male,Atlanta,GA,60628,Year or more,Discount Stores,Accessories,No,5,Daily,Throw out,Yes,Homeless Shelter,Sometimes
1138,3/14/93,Some College,Dating,Employeed,Black,Male,Chicago,IL,60656,6 Months,Department Store,Shoes,No,10,Weekly,Pass down to family or friend,No ,Salvation Army,Sometimes
1139,8/31/87,Masters,Married,Employeed,Black,Male,Chicago,IL,10464,Week,Discount Stores,Bottoms,Yes,9,Monthly,Sell/ Pawn,No ,Goodwill,Always
1140,12/8/85,Bachelor,Dating,Student,Black,Female,New York,NY,33193,Day,Department Store,Bottoms,No,21,Monthly,Pass down to family or friend,No ,Thrift Store,Often
1141,3/7/81,HS Grad,Dating,Student,White,Male,Miami,FL,10453,Week,Department Store,Accessories,No,24,Yearly,Throw out,Yes,American Red Cross,Sometimes
1142,8/28/89,Masters,Dating,Student,Other,Female,New York,NY,10278,Week,Thrift Store,Shoes,No,2,Weekly,Donate,Yes,Goodwill,Sometimes
1143,5/8/86,Some College,Single,Student,Other,Male,New York,NY,90037,Week,Department Store,Accessories,No,5,Weekly,Keep in closet,Yes,Homeless Shelter,Often
1144,5/2/86,Bachelor,Dating,Employeed,White,Female,Los Angeles,CA,60616,Year or more,Department Store,Accessories,No,17,Daily,Sell/ Pawn,No ,American Red Cross,Often
1145,10/28/93,Some College,Dating,Employeed,Asian,Female,Chicago,IL,30306,Year or more,Thrift Store,Accessories,No,19,Yearly,Donate,No ,Goodwill,Often
1146,10/16/81,Masters,Dating,Employeed,Other,Female,Atlanta,GA,30310,6 Months,Discount Stores,Accessories,Yes,21,Yearly,Sell/ Pawn,No ,American Red Cross,Sometimes
1147,3/21/81,Some College,Dating,Employeed,White,Male,Atlanta,GA,11243,6 Months,Thrift Store,Bottoms,No,24,Monthly,Donate,No ,Goodwill,Rarely
1148,11/6/90,HS Grad,Single,Student,White,Male,New York,NY,33056,Year or more,Discount Stores,Tops,No,2,Monthly,Sell/ Pawn,No ,Goodwill,Often
1149,9/21/85,HS Grad,Married,Student,Hispanic,Female,Miami,FL,33142,Day,Thrift Store,Tops,Yes,24,Weekly,Pass down to family or friend,No ,Local Church/Synagogue,Often
1150,8/27/84,Bachelor,Dating,Student,White,Male,Miami,FL,91793,Month,Thrift Store,Accessories,Yes,19,Yearly,Donate,Yes,Salvation Army,Often
1151,6/12/93,Bachelor,Married,Student,Asian,Female,Los Angeles,CA,30360,6 Months,Department Store,Bottoms,Yes,21,Yearly,Donate,No ,American Red Cross,Often
1152,9/25/88,Some College,Dating,Student,Other,Female,Atlanta,GA,10099,Month,Thrift Store,Tops,Yes,12,Weekly,Keep in closet,Yes,Thrift Store,Always
1153,4/20/81,HS Grad,Single,Student,Other,Male,New York,NY,60632,Year or more,Department Store,Tops,Yes,13,Monthly,Pass down to family or friend,No ,Thrift Store,Never
1154,3/16/85,Some College,Single,Employeed,Asian,Female,Chicago,IL,33132,Year or more,Thrift Store,Shoes,Yes,22,Monthly,Donate,Yes,Local Church/Synagogue,Never
1155,12/19/92,Masters,Dating,Employeed,White,Male,Miami,FL,60661,Month,Thrift Store,Tops,Yes,18,Daily,Keep in closet,Yes,Thrift Store,Never
1156,9/24/92,HS Grad,Married,Employeed,Other,Male,Chicago,IL,30314,Week,Discount Stores,Shoes,Yes,20,Weekly,Pass down to family or friend,No ,Local Church/Synagogue,Sometimes
1157,1/9/87,Some College,Single,Student,White,Male,Atlanta,GA,11203,Month,Discount Stores,Accessories,Yes,17,Weekly,Sell/ Pawn,No ,Goodwill,Always
1158,11/21/83,Bachelor,Dating,Employeed,Asian,Female,New York,NY,30338,Day,Discount Stores,Shoes,No,23,Yearly,Donate,Yes,Goodwill,Always
1159,11/1/94,Bachelor,Single,Student,Asian,Female,Atlanta,GA,11101,6 Months,Thrift Store,Accessories,Yes,1,Daily,Donate,Yes,Goodwill,Never
1160,2/21/95,HS Grad,Single,Employeed,Asian,Female,New York,NY,60610,Year or more,Department Store,Bottoms,No,11,Daily,Donate,Yes,Homeless Shelter,Often
1161,6/28/92,Some College,Dating,Employeed,Asian,Male,Chicago,IL,60626,Month,Thrift Store,Shoes,No,22,Yearly,Keep in closet,No ,Thrift Store,Never
1162,2/22/81,Bachelor,Married,Employeed,White,Female,Chicago,IL,60643,Month,Thrift Store,Shoes,No,3,Daily,Throw out,No ,Local Church/Synagogue,Never
1163,11/5/92,HS Grad,Married,Employeed,Black,Male,Chicago,IL,30307,Week,Department Store,Accessories,Yes,18,Monthly,Keep in closet,Yes,American Red Cross,Rarely
1164,8/9/93,Bachelor,Dating,Student,Black,Male,Atlanta,GA,91381,Year or more,Discount Stores,Accessories,Yes,6,Yearly,Keep in closet,Yes,Local Church/Synagogue,Sometimes
